 cookie=0x0, duration=10.027s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=10, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=ee:a1:b8:c4:55:bb,nw_src=161.65.175.64,nw_dst=10.0.0.14,nw_tos=0,tp_src=2,tp_dst=80 actions=output:2
 cookie=0x0, duration=9.938s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=c6:1b:7b:68:8a:a4,nw_src=159.160.149.118,nw_dst=10.0.0.32,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=9.888s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=d6:4f:3f:ad:0e:73,nw_src=52.170.161.9,nw_dst=10.0.0.49,nw_tos=0,tp_src=2,tp_dst=80 actions=output:7
 cookie=0x0, duration=9.830s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=06:aa:c0:9d:bf:a1,nw_src=39.13.133.95,nw_dst=10.0.0.19,nw_tos=0,tp_src=2,tp_dst=80 actions=output:3
 cookie=0x0, duration=9.736s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=9a:e3:d4:8f:30:9f,nw_src=84.246.23.243,nw_dst=10.0.0.11,nw_tos=0,tp_src=2,tp_dst=80 actions=output:2
 cookie=0x0, duration=9.679s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=9a:bd:ee:fd:be:14,nw_src=235.211.120.177,nw_dst=10.0.0.17,nw_tos=0,tp_src=2,tp_dst=80 actions=output:3
 cookie=0x0, duration=9.639s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=9a:bd:ee:fd:be:14,nw_src=7.234.85.100,nw_dst=10.0.0.17,nw_tos=0,tp_src=2,tp_dst=80 actions=output:3
 cookie=0x0, duration=9.563s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=96:03:61:79:50:6a,nw_src=183.249.28.132,nw_dst=10.0.0.29,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=9.523s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=c6:1b:7b:68:8a:a4,nw_src=58.105.117.186,nw_dst=10.0.0.32,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=9.470s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=02:dc:67:00:bb:9a,nw_src=185.203.2.186,nw_dst=10.0.0.53,nw_tos=0,tp_src=2,tp_dst=80 actions=output:7
 cookie=0x0, duration=9.415s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=ee:ab:49:af:85:44,nw_src=153.220.201.194,nw_dst=10.0.0.13,nw_tos=0,tp_src=2,tp_dst=80 actions=output:2
